survivor,doomed,discipline_key,placement,survivor_participants,doomed_participants,status,recommended_resolution,chosen_source,chosen_participants,decision_status,decision_notes,source_evidence_needed
1982_worlds,1982_nhsa_national,mixed_doubles_net,1,Alex Frazier + Scott Hughes,Lori Jean Tarr + Bill Hayne,CONFLICT,needs_review,,,pending,source conflict,high_priority — women's coverage is sparse in both compiled sources; NHSA newsletter or program scans preferred
1982_worlds,1982_nhsa_national,mixed_doubles_net,2,Cheryl Hughes + Bill Hayne,Cheryl Hughes + Scott Hughes,CONFLICT,needs_review,,,pending,source conflict,high_priority — women's coverage is sparse in both compiled sources; NHSA newsletter or program scans preferred
1982_worlds,1982_nhsa_national,mixed_doubles_net,3,Rita Buckley + Greg Cortopassi,Tricia George + Dave Robinson,CONFLICT,needs_review,,,pending,source conflict,high_priority — women's coverage is sparse in both compiled sources; NHSA newsletter or program scans preferred
1982_worlds,1982_nhsa_national,womens_doubles_net,1,Lori Jean Conover + Carolyn Ramondie,Cheryl Hughes + Lori Jean Tarr,CONFLICT,needs_review,,,pending,source conflict,high_priority — women's coverage is sparse in both compiled sources; NHSA newsletter or program scans preferred
1982_worlds,1982_nhsa_national,womens_doubles_net,2,Rita Buckley + Alex Frazier,Tricia George + Judy Grace,CONFLICT,needs_review,,,pending,source conflict,high_priority — women's coverage is sparse in both compiled sources; NHSA newsletter or program scans preferred
1982_worlds,1982_nhsa_national,womens_doubles_net,3,Cheryl Hughes + Karen Uppinghouse,Nancy Reynolds + Constance Constable,CONFLICT,needs_review,,,pending,source conflict,high_priority — women's coverage is sparse in both compiled sources; NHSA newsletter or program scans preferred
1982_worlds,1982_nhsa_national,womens_singles_net,1,Cheryl Hughes,Lori Jean Tarr,CONFLICT,needs_review,,,pending,source conflict,high_priority — women's coverage is sparse in both compiled sources; NHSA newsletter or program scans preferred
1982_worlds,1982_nhsa_national,womens_singles_net,2,Carolyn Ramondie,Nancy Reynolds,CONFLICT,needs_review,,,pending,source conflict,high_priority — women's coverage is sparse in both compiled sources; NHSA newsletter or program scans preferred
1982_worlds,1982_nhsa_national,womens_singles_net,3,Karen Gunther,Cheryl Hughes,CONFLICT,needs_review,,,pending,source conflict,high_priority — women's coverage is sparse in both compiled sources; NHSA newsletter or program scans preferred
1983_worlds,1983_nhsa_national,mixed_doubles_net,1,Lori Jean Conover + Bill Hayne,Lori Jean Tarr + Bruce Guettich,CONFLICT,needs_review,,,pending,source conflict,high_priority — women's coverage is sparse in both compiled sources; NHSA newsletter or program scans preferred
1983_worlds,1983_nhsa_national,mixed_doubles_net,2,Cheryl Hughes + Scott Hughes,Shannon Aubin + Dave Robinson,CONFLICT,needs_review,,,pending,source conflict,high_priority — women's coverage is sparse in both compiled sources; NHSA newsletter or program scans preferred
1983_worlds,1983_nhsa_national,mixed_doubles_net,3,Tricia George + David Robinson,Tricia George + Jim Fitzgerald,CONFLICT,needs_review,,,pending,source conflict,high_priority — women's coverage is sparse in both compiled sources; NHSA newsletter or program scans preferred
1983_worlds,1983_nhsa_national,womens_doubles_net,1,Lori Jean Conover + Cheryl Hughes,Lori Jean Tarr + Rita Buckley,CONFLICT,needs_review,,,pending,source conflict,high_priority — women's coverage is sparse in both compiled sources; NHSA newsletter or program scans preferred
1983_worlds,1983_nhsa_national,womens_singles_net,1,Lori Jean Conover,Lori Jean Tarr,CONFLICT,needs_review,,,pending,source conflict,high_priority — women's coverage is sparse in both compiled sources; NHSA newsletter or program scans preferred
1983_worlds,1983_nhsa_national,womens_singles_net,2,Nancy Reynolds,Nancy Reynolds,IDENTICAL,keep_survivor,both,Nancy Reynolds,auto_ready,sources agree,
1983_worlds,1983_nhsa_national,womens_singles_net,3,Cheryl Hughes,Tricia George,CONFLICT,needs_review,,,pending,source conflict,high_priority — women's coverage is sparse in both compiled sources; NHSA newsletter or program scans preferred
1984_worlds,1984_national,mens_overall,1,Scott Hughes,Scott Hughes,IDENTICAL,keep_survivor,both,Scott Hughes,auto_ready,sources agree,
1984_worlds,1984_national,mixed_doubles_net,1,Tricia George + David Robinson,Tricia George + Dave Robinson,CONFLICT,keep_survivor,authoritative-results-1980-1985.txt,Tricia George + David Robinson,resolved,"name variant only — both sources agree on team identity (Tricia George + Robinson); 'David Robinson' is the canonical surname-form used by authoritative; 'Dave Robinson' is the same person via alias resolution (separate canonical-layer issue, not event-content conflict)",
1984_worlds,1984_national,mixed_doubles_net,2,Nancy Reynolds + Greg Cortopassi,Nancy Reynolds + Greg Cortopassi,IDENTICAL,keep_survivor,both,Nancy Reynolds + Greg Cortopassi,auto_ready,sources agree,
1984_worlds,1984_national,mixed_doubles_net,3,Cheryl Hughes + Scott Hughes,Cheryl Hughes + Scott Hughes,IDENTICAL,keep_survivor,both,Cheryl Hughes + Scott Hughes,auto_ready,sources agree,
1984_worlds,1984_national,womens_doubles_net,1,Nancy Reynolds + Tricia George,Nancy Reynolds + Tricia George,IDENTICAL,keep_survivor,both,Nancy Reynolds + Tricia George,auto_ready,sources agree,
1984_worlds,1984_national,womens_doubles_net,2,Constance Constable + Jenny Davison,Constance Constable + Jenny Davidson,CONFLICT,keep_survivor,authoritative-results-1980-1985.txt,Constance Constable + Jenny Davison,resolved,name spelling variant only — both sources agree on team (Constance Constable + Jenny D-something); authoritative spells 'Davison' consistently across two 1984 discipline entries (Women's Dbls Net p2 + Women's Freestyle p3); 'Jenny Davidson' in gemini matches a separate canonical person row — alias-resolution decision deferred to canonical layer,
1984_worlds,1984_national,womens_doubles_net,3,Jodi Chandler + Shannon Storment,Shannon Aubin + Tricia George,CONFLICT,unresolved,,,pending,genuine team-identity conflict — authoritative records single team (Jodi Chandler + Shannon Storment) at p3 with no tie; gemini records different team (Shannon Aubin + Tricia George) at p3 plus additional teams (Karen Atgopian + Constance Constable). Tricia George already on p1 team with Nancy Reynolds in both sources; multiple-team participation is plausible. No third source available to corroborate either claim,"Footbag World newsletter 1984 issue, NHSA/WFA bulletin, or program scan"
1984_worlds,1984_national,womens_overall,1,Tricia George,Tricia George,IDENTICAL,keep_survivor,both,Tricia George,auto_ready,sources agree,
1984_worlds,1984_national,womens_singles_net,1,Nancy Reynolds,Nancy Reynolds,IDENTICAL,keep_survivor,both,Nancy Reynolds,auto_ready,sources agree,
1984_worlds,1984_national,womens_singles_net,2,Tricia George,Cheryl Hughes + Tricia George,CONFLICT,keep_survivor,authoritative-results-1980-1985.txt,Tricia George,resolved,"authoritative lists clean podium (Reynolds/George/Archdale, no ties); gemini source has data-quality artifacts in this discipline (Nancy Reynolds duplicated at p1, Trudy Archdale duplicated at p3) suggesting double-entry parsing error; gemini's Cheryl Hughes at p2 likely contamination from Women's Ultra Singles Net p2 (where Cheryl did finish 2nd per authoritative). keep_survivor",
1984_worlds,1984_national,womens_singles_net,3,Trudy Archdale,Trudy Archdale,IDENTICAL,keep_survivor,both,Trudy Archdale,auto_ready,sources agree,
